periodo;plazo_desde;plazo_hasta;cf
20130129;49;60;0.5800
20130129;61;72;0.5800
20130129;73;84;0.5900
20130129;85;96;0.5900
20130129;109;120;0.5900
20130129;133;144;0.5900
20130129;169;180;0.5900
20130130;1;12;0.5200
20130130;13;24;0.5500
20130130;25;36;0.5700
20130130;37;48;0.5700
20130130;49;60;0.5800
20130130;61;72;0.5800
20130130;73;84;0.5900
20130130;85;96;0.5900
20130130;109;120;0.5900
20130130;133;144;0.5900
20130130;169;180;0.5900
20130131;1;12;0.5200
20130131;13;24;0.5500
20130131;25;36;0.5700
20130131;37;48;0.5700
20130131;49;60;0.5800
20130131;61;72;0.5800
20130131;73;84;0.5900
20130131;85;96;0.5900
20130131;109;120;0.5900
20130131;133;144;0.5900
20130131;169;180;0.5900
20130201;1;12;0.5200
20130201;13;24;0.5500
20130201;25;36;0.5700
20130201;37;48;0.5700
20130201;49;60;0.5800
20130201;61;72;0.5800
20130201;73;84;0.5900
20130201;85;96;0.5900
20130201;109;120;0.5900
20130201;133;144;0.5900
20130201;169;180;0.5900
20130204;1;12;0.5200
20130204;13;24;0.5500
20130204;25;36;0.5700
20130204;37;48;0.5700
20130204;49;60;0.5800
20130204;61;72;0.5800
20130204;73;84;0.5900
20130204;85;96;0.5900
20130204;109;120;0.5900
20130204;133;144;0.5900
20130204;169;180;0.5900
20130205;1;12;0.5200
20130205;13;24;0.5500
20130205;25;36;0.5700
20130205;37;48;0.5700
20130205;49;60;0.5800
20130205;61;72;0.5800
20130205;73;84;0.5900
20130205;85;96;0.5900
20130205;109;120;0.5900
20130205;133;144;0.5900
20130205;169;180;0.5900
20130206;1;12;0.5200
20130206;13;24;0.5500
20130206;25;36;0.5700
20130206;37;48;0.5700
20130206;49;60;0.5800
20130206;61;72;0.5800
20130206;73;84;0.5900
20130206;85;96;0.5900
20130206;109;120;0.5900
20130206;133;144;0.5900
20130206;169;180;0.5900
20130207;1;12;0.5200
20130207;13;24;0.5500
20130207;25;36;0.5700
20130207;37;48;0.5700
20130207;49;60;0.5800
20130207;61;72;0.5800
20130207;73;84;0.5900
20130207;85;96;0.5900
20130207;109;120;0.5900
20130207;133;144;0.5900
20130207;169;180;0.5900
20130208;1;12;0.5200
20130208;13;24;0.5500
20130208;25;36;0.5700
20130208;37;48;0.5700
20130208;49;60;0.5800
20130208;61;72;0.5800
20130208;73;84;0.5900
20130208;85;96;0.5900
20130208;109;120;0.5900
20130208;133;144;0.5900
20130208;169;180;0.5900
20130211;1;12;0.5200
20130211;13;24;0.5500
20130211;25;36;0.5700
20130211;37;48;0.5700
20130211;49;60;0.5800
20130211;61;72;0.5800
20130211;73;84;0.5900
20130211;85;96;0.5900
20130211;109;120;0.5900
20130211;133;144;0.5900
20130211;169;180;0.5900
20130212;1;12;0.5100
20130212;13;24;0.5500
20130212;25;36;0.5700
20130212;37;48;0.5700
20130212;49;60;0.5800
20130212;61;72;0.5800
20130212;73;84;0.5900
20130212;85;96;0.5900
20130212;109;120;0.5900
20130212;133;144;0.5900
20130212;169;180;0.5900
20130213;1;12;0.5100
20130213;13;24;0.5300
20130213;25;36;0.5600
20130213;37;48;0.5700
20130213;49;60;0.5800
20130213;61;72;0.5800
20130213;73;84;0.5900
20130213;85;96;0.5900
20130213;109;120;0.5900
20130213;133;144;0.5900
20130213;169;180;0.5900
20130214;1;12;0.5100
20130214;13;24;0.5300
20130214;25;36;0.5600
20130214;37;48;0.5700
20130214;49;60;0.5800
20130214;61;72;0.5800
20130214;73;84;0.5900
20130214;85;96;0.5900
20130214;109;120;0.5900
20130214;133;144;0.5900
20130214;169;180;0.5900
20130215;1;12;0.5100
20130215;13;24;0.5300
20130215;25;36;0.5600
20130215;37;48;0.5700
20130215;49;60;0.5800
20130215;61;72;0.5800
20130215;73;84;0.5900
20130215;85;96;0.5900
20130215;109;120;0.5900
20130215;133;144;0.5900
20130215;169;180;0.5900
20130218;1;12;0.5100
20130218;13;24;0.5300
20130218;25;36;0.5600
20130218;37;48;0.5700
20130218;49;60;0.5800
20130218;61;72;0.5800
20130218;73;84;0.5900
20130218;85;96;0.5900
20130218;109;120;0.5900
20130218;133;144;0.5900
20130218;169;180;0.5900
20130219;1;12;0.5100
20130219;13;24;0.5300
20130219;25;36;0.5600
20130219;37;48;0.5700
20130219;49;60;0.5800
20130219;61;72;0.5800
20130219;73;84;0.5900
20130219;85;96;0.5900
20130219;109;120;0.5900
20130219;133;144;0.5900
20130219;169;180;0.5900
20130220;1;12;0.5100
20130220;13;24;0.5300
20130220;25;36;0.5600
20130220;37;48;0.5700
20130220;49;60;0.5800
20130220;61;72;0.5800
20130220;73;84;0.5900
20130220;85;96;0.5900
20130220;109;120;0.5900
20130220;133;144;0.5900
20130220;169;180;0.5900
20130221;1;12;0.5100
20130221;13;24;0.5300
20130221;25;36;0.5600
20130221;37;48;0.5700
20130221;49;60;0.5800
20130221;61;72;0.5800
20130221;73;84;0.5900
20130221;85;96;0.5900
20130221;109;120;0.5900
20130221;133;144;0.5900
20130221;169;180;0.5900
20130222;1;12;0.5100
20130222;13;24;0.5300
20130222;25;36;0.5600
20130222;37;48;0.5700
20130222;49;60;0.5800
20130222;61;72;0.5800
20130222;73;84;0.5900
20130222;85;96;0.5900
20130222;109;120;0.5900
20130222;133;144;0.5900
20130222;169;180;0.5900
20130225;1;12;0.5000
20130225;13;24;0.5300
20130225;25;36;0.5500
20130225;37;48;0.5600
20130225;49;60;0.5600
20130225;61;72;0.5700
20130225;73;84;0.5700
20130225;85;96;0.5800
20130225;109;120;0.5800
20130225;133;144;0.5800
20130225;169;180;0.5800
20130226;1;12;0.5000
20130226;13;24;0.5300
20130226;25;36;0.5500
20130226;37;48;0.5600
20130226;49;60;0.5600
20130226;61;72;0.5700
20130226;73;84;0.5700
20130226;85;96;0.5800
20130226;109;120;0.5800
20130226;133;144;0.5800
20130226;169;180;0.5800
20130227;1;12;0.5000
20130227;13;24;0.5300
20130227;25;36;0.5500
20130227;37;48;0.5600
20130227;49;60;0.5600
20130227;61;72;0.5700
20130227;73;84;0.5700
20130227;85;96;0.5800
20130227;109;120;0.5800
20130227;133;144;0.5800
20130227;169;180;0.5800
20130228;1;12;0.5000
20130228;13;24;0.5300
20130228;25;36;0.5500
20130228;37;48;0.5600
20130228;49;60;0.5600
20130228;61;72;0.5700
20130228;73;84;0.5700
20130228;85;96;0.5800
20130228;109;120;0.5800
20130228;133;144;0.5800
20130228;169;180;0.5800
