,2,8,20,40,59,79,99,118,138,157,197,275,589,1060,1520
CCDD,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0
ASISTIDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
